AN002,Nicobar,AN
AN001,North and Middle Andaman,AN
AN003,South Andaman,AN
AP012,Anantapur,AP
AP010,Chittoor,AP
AP004,East Godavari,AP
AP007,Guntur,AP
AP006,Krishna,AP
AP013,Kurnool,AP
AP008,Prakasam,AP
AP001,Srikakulam,AP
AP009,Sri Potti Sriramulu Nellore,AP
AP003,Visakhapatnam,AP
AP002,Vizianagaram,AP
AP005,West Godavari,AP
AP011,YSR District, Kadapa (Cuddapah),AP
AR016,Anjaw,AR
AR001,Changlang,AR
AR014,Dibang Valley,AR
AR003,East Kameng,AR
AR004,East Siang,AR
AR022,Kamle,AR
AR019,Kra Daadi,AR
AR015,Kurung Kumey,AR
AR024,Lepa Rada,AR
AR005,Lohit,AR
AR017,Longding,AR
AR002,Lower Dibang Valley,AR
AR020,Lower Siang,AR
AR006,Lower Subansiri,AR
AR018,Namsai,AR
AR025,Pakke Kessang,AR
AR007,Papum Pare,AR
AR023,Shi Yomi,AR
AR021,Siang,AR
AR008,Tawang,AR
AR009,Tirap,AR
AR010,Upper Siang,AR
AR011,Upper Subansiri,AR
AR012,West Kameng,AR
AR013,West Siang,AR
AS025,Baksa,AS
AS001,Barpeta,AS
AS028,Biswanath,AS
AS002,Bongaigaon,AS
AS003,Cachar,AS
AS029,Charaideo,AS
AS027,Chirang,AS
AS004,Darrang,AS
AS005,Dhemaji,AS
AS006,Dhubri,AS
AS007,Dibrugarh,AS
AS020,Dima Hasao (North Cachar Hills),AS
AS008,Goalpara,AS
AS009,Golaghat,AS
AS010,Hailakandi,AS
AS030,Hojai,AS
AS011,Jorhat,AS
AS012,Kamrup,AS
AS026,Kamrup Metropolitan,AS
AS013,Karbi Anglong,AS
AS014,Karimganj,AS
AS015,Kokrajhar,AS
AS016,Lakhimpur,AS
AS033,Majuli,AS
AS017,Morigaon,AS
AS018,Nagaon,AS
AS019,Nalbari,AS
AS021,Sivasagar,AS
AS022,Sonitpur,AS
AS031,South Salamara-Mankachar,AS
AS023,Tinsukia,AS
AS024,Udalguri,AS
AS032,West Karbi Anglong,AS
BR001,Araria,BR
BR038,Arwal,BR
BR002,Aurangabad,BR
BR003,Banka,BR
BR004,Begusarai,BR
BR005,Bhagalpur,BR
BR006,Bhojpur,BR
BR007,Buxar,BR
BR008,Darbhanga,BR
BR026,East Champaran (Motihari),BR
BR009,Gaya,BR
BR010,Gopalganj,BR
BR011,Jamui,BR
BR012,Jehanabad,BR
BR013,Kaimur (Bhabua),BR
BR014,Katihar,BR
BR015,Khagaria,BR
BR016,Kishanganj,BR
BR017,Lakhisarai,BR
BR018,Madhepura,BR
BR019,Madhubani,BR
BR020,Munger (Monghyr),BR
BR021,Muzaffarpur,BR
BR022,Nalanda,BR
BR023,Nawada,BR
BR025,Patna,BR
BR027,Purnia (Purnea),BR
BR028,Rohtas,BR
BR029,Saharsa,BR
BR030,Samastipur,BR
BR031,Saran,BR
BR032,Sheikhpura,BR
BR033,Sheohar,BR
BR034,Sitamarhi,BR
BR035,Siwan,BR
BR036,Supaul,BR
BR037,Vaishali,BR
BR024,West Champaran,BR
CH001,Chandigarh,CH
CG023,Balod,CG
CG026,Baloda Bazar,CG
CG027,Balrampur,CG
CG001,Bastar,CG
CG022,Bemetara,CG
CG018,Bijapur,CG
CG002,Bilaspur,CG
CG003,Dantewada (South Bastar),CG
CG004,Dhamtari,CG
CG005,Durg,CG
CG024,Gariyaband,CG
CG006,Janjgir-Champa,CG
CG007,Jashpur,CG
CG009,Kabirdham (Kawardha),CG
CG008,Kanker (North Bastar),CG
CG021,Kondagaon,CG
CG010,Korba,CG
CG011,Korea (Koriya),CG
CG012,Mahasamund,CG
CG025,Mungeli,CG
CG017,Narayanpur,CG
CG013,Raigarh,CG
CG014,Raipur,CG
CG015,Rajnandgaon,CG
CG019,Sukma,CG
CG020,Surajpur  ,CG
CG016,Surguja,CG
DN001,Dadra &amp; Nagar Haveli,DN
DD001,Daman,DD
DD002,Diu,DD
DL001,Central Delhi,DL
DL002,East Delhi,DL
DL003,New Delhi,DL
DL004,North Delhi,DL
DL005,North East  Delhi,DL
DL006,North West  Delhi,DL
DL011,Shahdara,DL
DL007,South Delhi,DL
DL010,South East Delhi,DL
DL008,South West  Delhi,DL
DL009,West Delhi,DL
GA001,North Goa,GA
GA002,South Goa,GA
GJ001,Ahmedabad,GJ
GJ002,Amreli,GJ
GJ003,Anand,GJ
GJ027,Aravalli,GJ
GJ004,Banaskantha (Palanpur),GJ
GJ005,Bharuch,GJ
GJ006,Bhavnagar,GJ
GJ028,Botad,GJ
GJ029,Chhota Udepur,GJ
GJ007,Dahod,GJ
GJ023,Dangs (Ahwa),GJ
GJ030,Devbhoomi Dwarka,GJ
GJ008,Gandhinagar,GJ
GJ031,Gir Somnath,GJ
GJ009,Jamnagar,GJ
GJ010,Junagadh,GJ
GJ011,Kachchh,GJ
GJ012,Kheda (Nadiad),GJ
GJ032,Mahisagar,GJ
GJ013,Mehsana,GJ
GJ033,Morbi,GJ
GJ014,Narmada (Rajpipla),GJ
GJ015,Navsari,GJ
GJ016,Panchmahal (Godhra),GJ
GJ017,Patan,GJ
GJ018,Porbandar,GJ
GJ019,Rajkot,GJ
GJ020,Sabarkantha (Himmatnagar),GJ
GJ021,Surat,GJ
GJ022,Surendranagar,GJ
GJ026,Tapi (Vyara),GJ
GJ024,Vadodara,GJ
GJ025,Valsad,GJ
HR001,Ambala,HR
HR002,Bhiwani,HR
HR022,Charkhi Dadri,HR
HR003,Faridabad,HR
HR004,Fatehabad,HR
HR005,Gurgaon,HR
HR006,Hisar,HR
HR007,Jhajjar,HR
HR008,Jind,HR
HR009,Kaithal,HR
HR010,Karnal,HR
HR011,Kurukshetra,HR
HR012,Mahendragarh,HR
HR020,Mewat,HR
HR021,Palwal,HR
HR013,Panchkula,HR
HR014,Panipat,HR
HR015,Rewari,HR
HR016,Rohtak,HR
HR017,Sirsa,HR
HR018,Sonipat,HR
HR019,Yamunanagar,HR
HP001,Bilaspur,HP
HP002,Chamba,HP
HP003,Hamirpur,HP
HP004,Kangra,HP
HP005,Kinnaur,HP
HP006,Kullu,HP
HP007,Lahaul &amp; Spiti,HP
HP008,Mandi,HP
HP009,Shimla,HP
HP010,Sirmaur (Sirmour),HP
HP011,Solan,HP
HP012,Una,HP
JK001,Anantnag,JK
JK022,Bandipore,JK
JK003,Baramulla,JK
JK002,Budgam,JK
JK004,Doda,JK
JK021,Ganderbal,JK
JK005,Jammu,JK
JK006,Kargil,JK
JK007,Kathua,JK
JK018,Kishtwar,JK
JK019,Kulgam,JK
JK008,Kupwara,JK
JK009,Leh,JK
JK011,Poonch,JK
JK010,Pulwama,JK
JK012,Rajouri,JK
JK017,Ramban,JK
JK016,Reasi,JK
JK015,Samba,JK
