AN,Andaman and Nicobar Island (UT),IN
AP,Andhra Pradesh,IN
AR,Arunachal Pradesh,IN
AS,Assam,IN
BR,Bihar,IN
CH,Chandigarh (UT),IN
CG,Chhattisgarh,IN
DN,Dadra and Nagar Haveli (UT),IN
DD,Daman and Diu (UT),IN
DL,Delhi (NCT),IN
GA,Goa,IN
GJ,Gujarat,IN
HR,Haryana,IN
HP,Himachal Pradesh,IN
JK,Jammu and Kashmir,IN
JH,Jharkhand,IN
KA,Karnataka,IN
KL,Kerala,IN
LD,Lakshadweep (UT),IN
MP,Madhya Pradesh,IN
MH,Maharashtra,IN
MN,Manipur,IN
ML,Meghalaya,IN
MZ,Mizoram,IN
NL,Nagaland,IN
OR,Odisha,IN
PY,Puducherry (UT),IN
PB,Punjab,IN
RJ,Rajasthan,IN
SK,Sikkim,IN
TN,Tamil Nadu,IN
TG,Telangana,IN
TR,Tripura,IN
UK,Uttarakhand,IN
UP,Uttar Pradesh,IN
WB,West Bengal,IN
